,City,Country,Date,Latitude,Longtitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,Alta Floresta,BR,1619373230,-9.8756,-56.0861,75,94,300.15,1.54
1,Sur,OM,1619373231,22.5667,59.5289,0,42,303.26,3.59
2,Rikitea,PF,1619372962,-23.1203,-134.9692,80,75,298.51,3.36
3,Puerto Ayora,EC,1619372690,-0.7393,-90.3518,20,65,301.15,8.23
4,Kelowna,CA,1619372981,49.8831,-119.4857,75,81,283.15,2.57
5,Touros,BR,1619373231,-5.1989,-35.4608,40,66,303.15,6.69
6,Havelock,US,1619372996,34.8791,-76.9013,80,67,293.71,2.68
7,Okha,RU,1619373232,53.5739,142.9478,6,88,266.33,1.96
8,Ixtapa,MX,1619373232,20.7,-105.2,20,57,301.15,3.6
9,Ţahţā,EG,1619372982,26.7693,31.5021,0,6,309.15,3.09
10,Santiago del Estero,AR,1619373233,-27.7951,-64.2615,0,37,296.88,2.7
11,Kavieng,PG,1619373225,-2.5744,150.7967,95,77,300.51,1.71
12,Tateyama,JP,1619373233,34.9833,139.8667,75,54,286.15,7.72
13,Iquique,CL,1619372979,-20.2208,-70.1431,0,46,295.15,7.72
14,Mount Isa,AU,1619373009,-20.7333,139.5,26,53,295.15,1.03
15,Souillac,MU,1619373004,-20.5167,57.5167,75,88,298.15,5.66
16,Camaquã,BR,1619373234,-30.8511,-51.8122,92,69,293.47,2.78
17,Cacimba de Dentro,BR,1619373234,-6.6417,-35.79,58,46,302.59,4.87
18,Chui,UY,1619372958,-33.6971,-53.4616,18,55,293.55,6.54
19,Codrington,AU,1619373017,-38.2667,141.9667,56,86,284.88,2.37
20,Saint George,US,1619373055,37.1041,-113.5841,1,16,298.71,13.89
21,Butaritari,KI,1619373029,3.0707,172.7902,23,77,300.87,5.35
22,Qaanaaq,GL,1619372950,77.484,-69.3632,87,74,272.91,1.29
23,Arrondissement de Montauban,FR,1619373235,44.0833,1.5,0,48,291.48,5.14
24,Ust'-Kut,RU,1619373235,56.7938,105.7672,100,98,270.03,1.59
25,Kavaratti,IN,1619372758,10.5669,72.642,5,71,302.26,4.17
26,Bluff,NZ,1619372914,-46.6,168.3333,78,84,278.71,2.68
27,Richards Bay,ZA,1619373236,-28.783,32.0377,0,86,292.83,1.05
28,Longyearbyen,SJ,1619372969,78.2186,15.6401,40,63,267.15,8.23
29,Jamestown,US,1619372849,42.097,-79.2353,90,81,283.15,5.14
30,Beringovskiy,RU,1619372867,63.05,179.3167,99,88,272.24,1.18
